fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
87,0.765,0.22,23,0.064,9,42,0.9963,31,0.55,94,5
66,0.735,0.02,79,0.122,68,124,0.9994,347,0.53,99,5
77,0.26,0.3,17,0.059,20,38,0.9949,329,0.47,108,6
122,0.48,0.54,26,0.085,19,64,1,31,0.61,105,6
114,0.6,0.49,27,0.085,10,41,0.9994,315,0.63,105,6
77,0.69,0.05,27,0.075,15,27,0.9974,326,0.61,91,5
87,0.31,0.46,14,0.059,11,25,0.9966,336,0.76,101,6
98,0.44,0.47,25,0.063,9,28,0.9981,324,0.65,108,6
12,0.39,0.66,3,0.093,12,30,0.9996,318,0.63,108,7
104,0.34,0.58,37,0.174,6,16,0.997,319,0.7,113,6
125,0.46,0.49,45,0.07,26,49,0.9981,305,0.57,96,4
9,0.43,0.34,25,0.08,26,86,0.9987,338,0.62,95,6
91,0.45,0.35,24,0.08,23,78,0.9987,338,0.62,95,5
71,0.735,0.16,19,0.1,15,77,0.9966,327,0.64,93,5
99,0.4,0.53,67,0.097,6,19,0.9986,327,0.82,117,7
88,0.52,0.34,27,0.087,24,122,0.9982,326,0.61,95,5
86,0.725,0.24,66,0.117,31,134,1.0014,332,1.07,93,5
106,0.48,0.64,22,0.111,6,20,0.997,326,0.66,117,6
7,0.58,0.12,19,0.091,34,124,0.9956,344,0.48,105,5
119,0.38,0.51,2,0.121,7,20,0.9996,324,0.76,104,6
68,0.77,0,18,0.066,34,52,0.9976,362,0.68,99,5
95,0.56,0.33,24,0.089,35,67,0.9972,328,0.73,118,7
66,0.84,0.03,23,0.059,32,48,0.9952,352,0.56,123,7
77,0.96,0.2,2,0.047,15,60,0.9955,336,0.44,109,5
105,0.24,0.47,21,0.066,6,24,0.9978,315,0.9,11,7
77,0.96,0.2,2,0.047,15,60,0.9955,336,0.44,109,5
66,0.84,0.03,23,0.059,32,48,0.9952,352,0.56,123,7
64,0.67,0.08,21,0.045,19,48,0.9949,349,0.49,114,6
95,0.78,0.22,19,0.077,6,32,0.9988,326,0.56,106,6
91,0.52,0.33,13,0.07,9,30,0.9978,324,0.6,93,5
128,0.84,0.63,24,0.088,13,35,0.9997,31,0.6,104,6
105,0.24,0.47,21,0.066,6,24,0.9978,315,0.9,11,7
78,0.55,0.35,22,0.074,21,66,0.9974,325,0.56,92,5
119,0.37,0.69,23,0.078,12,24,0.9958,3,0.65,128,6
123,0.39,0.63,23,0.091,6,18,1.0004,316,0.49,95,5
104,0.41,0.55,32,0.076,22,54,0.9996,315,0.89,99,6
123,0.39,0.63,23,0.091,6,18,1.0004,316,0.49,95,5
8,0.67,0.3,2,0.06,38,62,0.9958,326,0.56,102,6
111,0.45,0.73,32,0.066,6,22,0.9986,317,0.66,112,6
104,0.41,0.55,32,0.076,22,54,0.9996,315,0.89,99,6
7,0.62,0.18,15,0.062,7,50,0.9951,308,0.6,93,5
126,0.31,0.72,22,0.072,6,29,0.9987,288,0.82,98,8
119,0.4,0.65,215,0.068,7,27,0.9988,306,0.68,113,6
156,0.685,0.76,37,0.1,6,43,1.0032,295,0.68,112,7
10,0.44,0.49,27,0.077,11,19,0.9963,323,0.63,116,7
53,0.57,0.01,17,0.054,5,27,0.9934,357,0.84,125,7
95,0.735,0.1,21,0.079,6,31,0.9986,323,0.56,101,6
125,0.38,0.6,26,0.081,31,72,0.9996,31,0.73,105,5
93,0.48,0.29,21,0.127,6,16,0.9968,322,0.72,112,5
86,0.53,0.22,2,0.1,7,27,0.9967,32,0.56,102,6
119,0.39,0.69,28,0.095,17,35,0.9994,31,0.61,108,6
119,0.39,0.69,28,0.095,17,35,0.9994,31,0.61,108,6
84,0.37,0.53,18,0.413,9,26,0.9979,306,1.06,91,6
68,0.56,0.03,17,0.084,18,35,0.9968,344,0.63,10,6
104,0.33,0.63,28,0.084,5,22,0.9998,326,0.74,112,7
7,0.23,0.4,16,0.063,21,67,0.9952,35,0.63,111,5
113,0.62,0.67,52,0.086,6,19,0.9988,322,0.69,134,8
89,0.59,0.39,23,0.095,5,22,0.9986,337,0.58,103,5
92,0.63,0.21,27,0.097,29,65,0.9988,328,0.58,96,5
104,0.33,0.63,28,0.084,5,22,0.9998,326,0.74,112,7
116,0.58,0.66,22,0.074,10,47,1.0008,325,0.57,9,3
92,0.43,0.52,23,0.083,14,23,0.9976,335,0.61,113,6
83,0.615,0.22,26,0.087,6,19,0.9982,326,0.61,93,5
11,0.26,0.68,255,0.085,10,25,0.997,318,0.61,118,5
81,0.66,0.7,22,0.098,25,129,0.9972,308,0.53,9,5
115,0.315,0.54,21,0.084,5,15,0.9987,298,0.7,92,6
10,0.29,0.4,29,0.098,10,26,1.0006,348,0.91,97,5
103,0.5,0.42,2,0.069,21,51,0.9982,316,0.72,115,6
88,0.46,0.45,26,0.065,7,18,0.9947,332,0.79,14,6
114,0.36,0.69,21,0.09,6,21,1,317,0.62,92,6
87,0.82,0.02,12,0.07,36,48,0.9952,32,0.58,98,5
13,0.32,0.65,26,0.093,15,47,0.9996,305,0.61,106,5
96,0.54,0.42,24,0.081,25,52,0.997,32,0.71,114,6
125,0.37,0.55,26,0.083,25,68,0.9995,315,0.82,104,6
99,0.35,0.55,21,0.062,5,14,0.9971,326,0.79,106,5
105,0.28,0.51,17,0.08,10,24,0.9982,32,0.89,94,6
96,0.68,0.24,22,0.087,5,28,0.9988,314,0.6,102,5
93,0.27,0.41,2,0.091,6,16,0.998,328,0.7,97,5
104,0.24,0.49,18,0.075,6,20,0.9977,318,1.06,11,6
96,0.68,0.24,22,0.087,5,28,0.9988,314,0.6,102,5
94,0.685,0.11,27,0.077,6,31,0.9984,319,0.7,101,6
106,0.28,0.39,155,0.069,6,23,1.0026,312,0.66,92,5
94,0.3,0.56,28,0.08,6,17,0.9964,315,0.92,117,8
106,0.36,0.59,22,0.152,6,18,0.9986,304,1.05,94,5
106,0.36,0.6,22,0.152,7,18,0.9986,304,1.06,94,5
106,0.44,0.68,41,0.114,6,24,0.997,306,0.66,134,6
102,0.67,0.39,19,0.054,6,17,0.9976,317,0.47,10,5
102,0.67,0.39,19,0.054,6,17,0.9976,317,0.47,10,5
102,0.645,0.36,18,0.053,5,14,0.9982,317,0.42,10,6
116,0.32,0.55,28,0.081,35,67,1.0002,332,0.92,108,7
93,0.39,0.4,26,0.073,10,26,0.9984,334,0.75,102,6
93,0.775,0.27,28,0.078,24,56,0.9984,331,0.67,106,6
92,0.41,0.5,25,0.055,12,25,0.9952,334,0.79,133,7
89,0.4,0.51,26,0.052,13,27,0.995,332,0.9,134,7
87,0.69,0.31,3,0.086,23,81,1.0002,348,0.74,116,6
65,0.39,0.23,83,0.051,28,91,0.9952,344,0.55,121,6
107,0.35,0.53,26,0.07,5,16,0.9972,315,0.65,11,8
78,0.52,0.25,19,0.081,14,38,0.9984,343,0.65,9,6
72,0.34,0.32,25,0.09,43,113,0.9966,332,0.79,111,5
107,0.35,0.53,26,0.07,5,16,0.9972,315,0.65,11,8
87,0.69,0.31,3,0.086,23,81,1.0002,348,0.74,116,6
78,0.52,0.25,19,0.081,14,38,0.9984,343,0.65,9,6
104,0.44,0.73,655,0.074,38,76,0.999,317,0.85,12,7
104,0.44,0.73,655,0.074,38,76,0.999,317,0.85,12,7
105,0.26,0.47,19,0.078,6,24,0.9976,318,1.04,109,7
105,0.24,0.42,18,0.077,6,22,0.9976,321,1.05,108,7
102,0.49,0.63,29,0.072,10,26,0.9968,316,0.78,125,7
104,0.24,0.46,18,0.075,6,21,0.9976,325,1.02,108,7
112,0.67,0.55,23,0.084,6,13,1,317,0.71,95,6
10,0.59,0.31,22,0.09,26,62,0.9994,318,0.63,102,6
133,0.29,0.75,28,0.084,23,43,0.9986,304,0.68,114,7
124,0.42,0.49,46,0.073,19,43,0.9978,302,0.61,95,5
10,0.59,0.31,22,0.09,26,62,0.9994,318,0.63,102,6
107,0.4,0.48,21,0.125,15,49,0.998,303,0.81,97,6
105,0.51,0.64,24,0.107,6,15,0.9973,309,0.66,118,7
105,0.51,0.64,24,0.107,6,15,0.9973,309,0.66,118,7
85,0.655,0.49,61,0.122,34,151,1.001,331,1.14,93,5
125,0.6,0.49,43,0.1,5,14,1.001,325,0.74,119,6
104,0.61,0.49,21,0.2,5,16,0.9994,316,0.63,84,3
109,0.21,0.49,28,0.088,11,32,0.9972,322,0.68,117,6
73,0.365,0.49,25,0.088,39,106,0.9966,336,0.78,11,5
98,0.25,0.49,27,0.088,15,33,0.9982,342,0.9,10,6
76,0.41,0.49,2,0.088,16,43,0.998,348,0.64,91,5
82,0.39,0.49,23,0.099,47,133,0.9979,338,0.99,98,5
93,0.4,0.49,25,0.085,38,142,0.9978,322,0.55,94,5
92,0.43,0.49,24,0.086,23,116,0.9976,323,0.64,95,5
104,0.64,0.24,28,0.105,29,53,0.9998,324,0.67,99,5
73,0.365,0.49,25,0.088,39,106,0.9966,336,0.78,11,5
7,0.38,0.49,25,0.097,33,85,0.9962,339,0.77,114,6
82,0.42,0.49,26,0.084,32,55,0.9988,334,0.75,87,6
99,0.63,0.24,24,0.077,6,33,0.9974,309,0.57,94,5
91,0.22,0.24,21,0.078,1,28,0.999,341,0.87,103,6
119,0.38,0.49,27,0.098,12,42,1.0004,316,0.61,103,5
119,0.38,0.49,27,0.098,12,42,1.0004,316,0.61,103,5
103,0.27,0.24,21,0.072,15,33,0.9956,322,0.66,128,6
10,0.48,0.24,27,0.102,13,32,1,328,0.56,10,6
91,0.22,0.24,21,0.078,1,28,0.999,341,0.87,103,6
99,0.63,0.24,24,0.077,6,33,0.9974,309,0.57,94,5
81,0.825,0.24,21,0.084,5,13,0.9972,337,0.77,107,6
129,0.35,0.49,58,0.066,5,35,1.0014,32,0.66,12,7
112,0.5,0.74,515,0.1,5,17,0.9996,322,0.62,112,5
92,0.59,0.24,33,0.101,20,47,0.9988,326,0.67,96,5
95,0.46,0.49,63,0.064,5,17,0.9988,321,0.73,11,6
93,0.715,0.24,21,0.07,5,20,0.9966,312,0.59,99,5
112,0.66,0.24,25,0.085,16,53,0.9993,306,0.72,11,6
143,0.31,0.74,18,0.075,6,15,1.0008,286,0.79,84,6
91,0.47,0.49,26,0.094,38,106,0.9982,308,0.59,91,5
75,0.55,0.24,2,0.078,10,28,0.9983,345,0.78,95,6
106,0.31,0.49,25,0.067,6,21,0.9987,326,0.86,107,6
124,0.35,0.49,26,0.079,27,69,0.9994,312,0.75,104,6
9,0.53,0.49,19,0.171,6,25,0.9975,327,0.61,94,6
68,0.51,0.01,21,0.074,9,25,0.9958,333,0.56,95,6
94,0.43,0.24,28,0.092,14,45,0.998,319,0.73,10,6
95,0.46,0.24,27,0.092,14,44,0.998,312,0.74,10,6
5,1.04,0.24,16,0.05,32,96,0.9934,374,0.62,115,5
155,0.645,0.49,42,0.095,10,23,1.00315,292,0.74,111,5
155,0.645,0.49,42,0.095,10,23,1.00315,292,0.74,111,5
109,0.53,0.49,46,0.118,10,17,1.0002,307,0.56,117,6
156,0.645,0.49,42,0.095,10,23,1.00315,292,0.74,111,5
109,0.53,0.49,46,0.118,10,17,1.0002,307,0.56,117,6
13,0.47,0.49,43,0.085,6,47,1.0021,33,0.68,127,6
127,0.6,0.49,28,0.075,5,19,0.9994,314,0.57,114,5
9,0.44,0.49,24,0.078,26,121,0.9978,323,0.58,92,5
9,0.54,0.49,29,0.094,41,110,0.9982,308,0.61,92,5
76,0.29,0.49,27,0.092,25,60,0.9971,331,0.61,101,6
13,0.47,0.49,43,0.085,6,47,1.0021,33,0.68,127,6
127,0.6,0.49,28,0.075,5,19,0.9994,314,0.57,114,5
87,0.7,0.24,25,0.226,5,15,0.9991,332,0.6,9,6
87,0.7,0.24,25,0.226,5,15,0.9991,332,0.6,9,6
98,0.5,0.49,26,0.25,5,20,0.999,331,0.79,107,6
62,0.36,0.24,22,0.095,19,42,0.9946,357,0.57,117,6
115,0.35,0.49,33,0.07,10,37,1.0003,332,0.91,11,6
62,0.36,0.24,22,0.095,19,42,0.9946,357,0.57,117,6
102,0.24,0.49,24,0.075,10,28,0.9978,314,0.61,104,5
105,0.59,0.49,21,0.07,14,47,0.9991,33,0.56,96,4
106,0.34,0.49,32,0.078,20,78,0.9992,319,0.7,10,6
123,0.27,0.49,31,0.079,28,46,0.9993,32,0.8,102,6
99,0.5,0.24,23,0.103,6,14,0.9978,334,0.52,10,4
88,0.44,0.49,28,0.083,18,111,0.9982,33,0.6,95,5
88,0.47,0.49,29,0.085,17,110,0.9982,329,0.6,98,5
106,0.31,0.49,22,0.063,18,40,0.9976,314,0.51,98,6
123,0.5,0.49,22,0.089,5,14,1.0002,319,0.44,96,5
123,0.5,0.49,22,0.089,5,14,1.0002,319,0.44,96,5
117,0.49,0.49,22,0.083,5,15,1,319,0.43,92,5
12,0.28,0.49,19,0.074,10,21,0.9976,298,0.66,99,7
118,0.33,0.49,34,0.093,54,80,1.0002,33,0.76,107,7
76,0.51,0.24,24,0.091,8,38,0.998,347,0.66,96,6
111,0.31,0.49,27,0.094,16,47,0.9986,312,1.02,106,7
73,0.73,0.24,19,0.108,18,102,0.9967,326,0.59,93,5
5,0.42,0.24,2,0.06,19,50,0.9917,372,0.74,14,8
102,0.29,0.49,26,0.059,5,13,0.9976,305,0.74,105,7
9,0.45,0.49,26,0.084,21,75,0.9987,335,0.57,97,5
66,0.39,0.49,17,0.07,23,149,0.9922,312,0.5,115,6
9,0.45,0.49,26,0.084,21,75,0.9987,335,0.57,97,5
99,0.49,0.58,35,0.094,9,43,1.0004,329,0.58,9,5
79,0.72,0.17,26,0.096,20,38,0.9978,34,0.53,95,5
89,0.595,0.41,79,0.086,30,109,0.9998,327,0.57,93,5
124,0.4,0.51,2,0.059,6,24,0.9994,304,0.6,93,6
119,0.58,0.58,19,0.071,5,18,0.998,309,0.63,10,6
85,0.585,0.18,21,0.078,5,30,0.9967,32,0.48,98,6
127,0.59,0.45,23,0.082,11,22,1,3,0.7,93,6
82,0.915,0.27,21,0.088,7,23,0.9962,326,0.47,10,4
132,0.46,0.52,22,0.071,12,35,1.0006,31,0.56,9,6
77,0.835,0,26,0.081,6,14,0.9975,33,0.52,93,5
132,0.46,0.52,22,0.071,12,35,1.0006,31,0.56,9,6
83,0.58,0.13,29,0.096,14,63,0.9984,317,0.62,91,6
83,0.6,0.13,26,0.085,6,24,0.9984,331,0.59,92,6
94,0.41,0.48,46,0.072,10,20,0.9973,334,0.79,122,7
88,0.48,0.41,33,0.092,26,52,0.9982,331,0.53,105,6
101,0.65,0.37,51,0.11,11,65,1.0026,332,0.64,104,6
63,0.36,0.19,32,0.075,15,39,0.9956,356,0.52,127,6
88,0.24,0.54,25,0.083,25,57,0.9983,339,0.54,92,5
132,0.38,0.55,27,0.081,5,16,1.0006,298,0.54,94,5
75,0.64,0,24,0.077,18,29,0.9965,332,0.6,10,6
82,0.39,0.38,15,0.058,10,29,0.9962,326,0.74,98,5
92,0.755,0.18,22,0.148,10,103,0.9969,287,1.36,102,6
96,0.6,0.5,23,0.079,28,71,0.9997,35,0.57,97,5
96,0.6,0.5,23,0.079,28,71,0.9997,35,0.57,97,5
115,0.31,0.51,22,0.079,14,28,0.9982,303,0.93,98,6
114,0.46,0.5,27,0.122,4,17,1.0006,313,0.7,102,5
113,0.37,0.41,23,0.088,6,16,0.9988,309,0.8,93,5
83,0.54,0.24,34,0.076,16,112,0.9976,327,0.61,94,5
82,0.56,0.23,34,0.078,14,104,0.9976,328,0.62,94,5
10,0.58,0.22,19,0.08,9,32,0.9974,313,0.55,95,5
79,0.51,0.25,29,0.077,21,45,0.9974,349,0.96,121,6
68,0.69,0,56,0.124,21,58,0.9997,346,0.72,102,5
68,0.69,0,56,0.124,21,58,0.9997,346,0.72,102,5
88,0.6,0.29,22,0.098,5,15,0.9988,336,0.49,91,5
88,0.6,0.29,22,0.098,5,15,0.9988,336,0.49,91,5
87,0.54,0.26,25,0.097,7,31,0.9976,327,0.6,93,6
76,0.685,0.23,23,0.111,20,84,0.9964,321,0.61,93,5
87,0.54,0.26,25,0.097,7,31,0.9976,327,0.6,93,6
104,0.28,0.54,27,0.105,5,19,0.9988,325,0.63,95,5
76,0.41,0.14,3,0.087,21,43,0.9964,332,0.57,105,6
101,0.935,0.22,34,0.105,11,86,1.001,343,0.64,113,4
79,0.35,0.21,19,0.073,46,102,0.9964,327,0.58,95,5
87,0.84,0,14,0.065,24,33,0.9954,327,0.55,97,5
96,0.88,0.28,24,0.086,30,147,0.9979,324,0.53,94,5
95,0.885,0.27,23,0.084,31,145,0.9978,324,0.53,94,5
77,0.915,0.12,22,0.143,7,23,0.9964,335,0.65,102,7
89,0.29,0.35,19,0.067,25,57,0.997,318,1.36,103,6
99,0.54,0.45,23,0.071,16,40,0.9991,339,0.62,94,5
95,0.59,0.44,23,0.071,21,68,0.9992,346,0.63,95,5
99,0.54,0.45,23,0.071,16,40,0.9991,339,0.62,94,5
95,0.59,0.44,23,0.071,21,68,0.9992,346,0.63,95,5
99,0.54,0.45,23,0.071,16,40,0.9991,339,0.62,94,5
78,0.64,0.1,6,0.115,5,11,0.9984,337,0.69,101,7
73,0.67,0.05,36,0.107,6,20,0.9972,34,0.63,101,5
83,0.845,0.01,22,0.07,5,14,0.9967,332,0.58,11,4
87,0.48,0.3,28,0.066,10,28,0.9964,333,0.67,112,7
67,0.42,0.27,86,0.068,24,148,0.9948,316,0.57,113,6
107,0.43,0.39,22,0.106,8,32,0.9986,289,0.5,96,5
98,0.88,0.25,25,0.104,35,155,1.001,341,0.67,112,5
159,0.36,0.65,75,0.096,22,71,0.9976,298,0.84,149,5
94,0.33,0.59,28,0.079,9,30,0.9976,312,0.54,12,6
86,0.47,0.47,24,0.074,7,29,0.9979,308,0.46,95,5
97,0.55,0.17,29,0.087,20,53,1.0004,314,0.61,94,5
107,0.43,0.39,22,0.106,8,32,0.9986,289,0.5,96,5
12,0.5,0.59,14,0.073,23,42,0.998,292,0.68,105,7
72,0.52,0.07,14,0.074,5,20,0.9973,332,0.81,96,6
71,0.84,0.02,44,0.096,5,13,0.997,341,0.57,11,4
72,0.52,0.07,14,0.074,5,20,0.9973,332,0.81,96,6
75,0.42,0.31,16,0.08,15,42,0.9978,331,0.64,9,5
72,0.57,0.06,16,0.076,9,27,0.9972,336,0.7,96,6
101,0.28,0.46,18,0.05,5,13,0.9974,304,0.79,102,6
121,0.4,0.52,2,0.092,15,54,1,303,0.66,102,5
94,0.59,0.14,2,0.084,25,48,0.9981,314,0.56,97,5
83,0.49,0.36,18,0.222,6,16,0.998,318,0.6,95,6
113,0.34,0.45,2,0.082,6,15,0.9988,294,0.66,92,6
10,0.73,0.43,23,0.059,15,31,0.9966,315,0.57,11,5
113,0.34,0.45,2,0.082,6,15,0.9988,294,0.66,92,6
69,0.4,0.24,25,0.083,30,45,0.9959,326,0.58,10,5
82,0.73,0.21,17,0.074,5,13,0.9968,32,0.52,95,5
98,1.24,0.34,2,0.079,32,151,0.998,315,0.53,95,5
82,0.73,0.21,17,0.074,5,13,0.9968,32,0.52,95,5
108,0.4,0.41,22,0.084,7,17,0.9984,308,0.67,93,6
93,0.41,0.39,22,0.064,12,31,0.9984,326,0.65,102,5
108,0.4,0.41,22,0.084,7,17,0.9984,308,0.67,93,6
86,0.8,0.11,23,0.084,12,31,0.9979,34,0.48,99,5
83,0.78,0.1,26,0.081,45,87,0.9983,348,0.53,10,5
108,0.26,0.45,33,0.06,20,49,0.9972,313,0.54,96,5
133,0.43,0.58,19,0.07,15,40,1.0004,306,0.49,9,5
8,0.45,0.23,22,0.094,16,29,0.9962,321,0.49,102,6
85,0.46,0.31,225,0.078,32,58,0.998,333,0.54,98,5
81,0.78,0.23,26,0.059,5,15,0.997,337,0.56,113,5
98,0.98,0.32,23,0.078,35,152,0.998,325,0.48,94,5
81,0.78,0.23,26,0.059,5,15,0.997,337,0.56,113,5
71,0.65,0.18,18,0.07,13,40,0.997,344,0.6,91,5
91,0.64,0.23,31,0.095,13,38,0.9998,328,0.59,97,5
77,0.66,0.04,16,0.039,4,9,0.9962,34,0.47,94,5
81,0.38,0.48,18,0.157,5,17,0.9976,33,1.05,94,5
74,1.185,0,425,0.097,5,14,0.9966,363,0.54,107,3
92,0.92,0.24,26,0.087,12,93,0.9998,348,0.54,98,5
86,0.49,0.51,2,0.422,16,62,0.9979,303,1.17,9,5
9,0.48,0.32,28,0.084,21,122,0.9984,332,0.62,94,5
9,0.47,0.31,27,0.084,24,125,0.9984,331,0.61,94,5
51,0.47,0.02,13,0.034,18,44,0.9921,39,0.62,128,6
7,0.65,0.02,21,0.066,8,25,0.9972,347,0.67,95,6
7,0.65,0.02,21,0.066,8,25,0.9972,347,0.67,95,6
94,0.615,0.28,32,0.087,18,72,1.0001,331,0.53,97,5
118,0.38,0.55,21,0.071,5,19,0.9986,311,0.62,108,6
106,1.02,0.43,29,0.076,26,88,0.9984,308,0.57,101,6
7,0.65,0.02,21,0.066,8,25,0.9972,347,0.67,95,6
7,0.64,0.02,21,0.067,9,23,0.997,347,0.67,94,6
75,0.38,0.48,26,0.073,22,84,0.9972,332,0.7,96,4
91,0.765,0.04,16,0.078,4,14,0.998,329,0.54,97,4
84,1.035,0.15,6,0.073,11,54,0.999,337,0.49,99,5
7,0.78,0.08,2,0.093,10,19,0.9956,34,0.47,10,5
74,0.49,0.19,3,0.077,16,37,0.9966,337,0.51,105,5
78,0.545,0.12,25,0.068,11,35,0.996,334,0.61,116,6
97,0.31,0.47,16,0.062,13,33,0.9983,327,0.66,10,6
106,1.025,0.43,28,0.08,21,84,0.9985,306,0.57,101,5
89,0.565,0.34,3,0.093,16,112,0.9998,338,0.61,95,5
87,0.69,0,32,0.084,13,33,0.9992,336,0.45,94,5
8,0.43,0.36,23,0.075,10,48,0.9976,334,0.46,94,5
99,0.74,0.28,26,0.078,21,77,0.998,328,0.51,98,5
72,0.49,0.18,27,0.069,13,34,0.9967,329,0.48,92,6
8,0.43,0.36,23,0.075,10,48,0.9976,334,0.46,94,5
76,0.46,0.11,26,0.079,12,49,0.9968,321,0.57,10,5
84,0.56,0.04,2,0.082,10,22,0.9976,322,0.44,96,5
71,0.66,0,39,0.086,17,45,0.9976,346,0.54,95,5
84,0.56,0.04,2,0.082,10,22,0.9976,322,0.44,96,5
89,0.48,0.24,285,0.094,35,106,0.9982,31,0.53,92,5
76,0.42,0.08,27,0.084,15,48,0.9968,321,0.59,10,5
71,0.31,0.3,22,0.053,36,127,0.9965,294,1.62,95,5
75,1.115,0.1,31,0.086,5,12,0.9958,354,0.6,112,4
9,0.66,0.17,3,0.077,5,13,0.9976,329,0.55,104,5
81,0.72,0.09,28,0.084,18,49,0.9994,343,0.72,111,6
64,0.57,0.02,18,0.067,4,11,0.997,346,0.68,95,5
64,0.57,0.02,18,0.067,4,11,0.997,346,0.68,95,5
64,0.865,0.03,32,0.071,27,58,0.995,361,0.49,127,6
95,0.55,0.66,23,0.387,12,37,0.9982,317,0.67,96,5
89,0.875,0.13,345,0.088,4,14,0.9994,344,0.52,115,5
73,0.835,0.03,21,0.092,10,19,0.9966,339,0.47,96,5
7,0.45,0.34,27,0.082,16,72,0.998,355,0.6,95,5
77,0.56,0.2,2,0.075,9,39,0.9987,348,0.62,93,5
77,0.965,0.1,21,0.112,11,22,0.9963,326,0.5,95,5
77,0.965,0.1,21,0.112,11,22,0.9963,326,0.5,95,5
82,0.59,0,25,0.093,19,58,1.0002,35,0.65,93,6
9,0.46,0.23,28,0.092,28,104,0.9983,31,0.56,92,5
9,0.69,0,24,0.088,19,38,0.999,335,0.6,93,5
83,0.76,0.29,42,0.075,12,16,0.9965,345,0.68,115,6
92,0.53,0.24,26,0.078,28,139,0.99788,321,0.57,95,5
65,0.615,0,19,0.065,9,18,0.9972,346,0.65,92,5
116,0.41,0.58,28,0.096,25,101,1.00024,313,0.53,10,5
111,0.39,0.54,27,0.095,21,101,1.0001,313,0.51,95,5
73,0.51,0.18,21,0.07,12,28,0.99768,352,0.73,95,6
82,0.34,0.38,25,0.08,12,57,0.9978,33,0.47,9,6
86,0.33,0.4,26,0.083,16,68,0.99782,33,0.48,94,5
72,0.5,0.18,21,0.071,12,31,0.99761,352,0.72,96,6
73,0.51,0.18,21,0.07,12,28,0.99768,352,0.73,95,6
83,0.65,0.1,29,0.089,17,40,0.99803,329,0.55,95,5
83,0.65,0.1,29,0.089,17,40,0.99803,329,0.55,95,5
76,0.54,0.13,25,0.097,24,66,0.99785,339,0.61,94,5
83,0.65,0.1,29,0.089,17,40,0.99803,329,0.55,95,5
78,0.48,0.68,17,0.415,14,32,0.99656,309,1.06,91,6
78,0.91,0.07,19,0.058,22,47,0.99525,351,0.43,107,6
63,0.98,0.01,2,0.057,15,33,0.99488,36,0.46,112,6
81,0.87,0,22,0.084,10,31,0.99656,325,0.5,98,5
81,0.87,0,22,0.084,10,31,0.99656,325,0.5,98,5
88,0.42,0.21,25,0.092,33,88,0.99823,319,0.52,92,5
9,0.58,0.25,28,0.075,9,104,0.99779,323,0.57,97,5
93,0.655,0.26,2,0.096,5,35,0.99738,325,0.42,96,5
88,0.7,0,17,0.069,8,19,0.99701,331,0.53,10,6
93,0.655,0.26,2,0.096,5,35,0.99738,325,0.42,96,5
91,0.68,0.11,28,0.093,11,44,0.99888,331,0.55,95,6
92,0.67,0.1,3,0.091,12,48,0.99888,331,0.54,95,6
88,0.59,0.18,29,0.089,12,74,0.99738,314,0.54,94,5
75,0.6,0.32,27,0.103,13,98,0.99938,345,0.62,95,5
71,0.59,0.02,23,0.082,24,94,0.99744,355,0.53,97,6
79,0.72,0.01,19,0.076,7,32,0.99668,339,0.54,96,5
71,0.59,0.02,23,0.082,24,94,0.99744,355,0.53,97,6
94,0.685,0.26,24,0.082,23,143,0.9978,328,0.55,94,5
95,0.57,0.27,23,0.082,23,144,0.99782,327,0.55,94,5
79,0.4,0.29,18,0.157,1,44,0.9973,33,0.92,95,6
79,0.4,0.3,18,0.157,2,45,0.99727,331,0.91,95,6
72,1,0,3,0.102,7,16,0.99586,343,0.46,10,5
69,0.765,0.18,24,0.243,55,48,0.99612,34,0.6,103,6
69,0.635,0.17,24,0.241,6,18,0.9961,34,0.59,103,6
83,0.43,0.3,34,0.079,7,34,0.99788,336,0.61,105,5
71,0.52,0.03,26,0.076,21,92,0.99745,35,0.6,98,5
7,0.57,0,2,0.19,12,45,0.99676,331,0.6,94,6
65,0.46,0.14,24,0.114,9,37,0.99732,366,0.65,98,5
9,0.82,0.05,24,0.081,26,96,0.99814,336,0.53,10,5
65,0.46,0.14,24,0.114,9,37,0.99732,366,0.65,98,5
71,0.59,0.01,25,0.077,20,85,0.99746,355,0.59,98,5
99,0.35,0.41,23,0.083,11,61,0.9982,321,0.5,95,5
99,0.35,0.41,23,0.083,11,61,0.9982,321,0.5,95,5
10,0.56,0.24,22,0.079,19,58,0.9991,318,0.56,101,6
10,0.56,0.24,22,0.079,19,58,0.9991,318,0.56,101,6
86,0.63,0.17,29,0.099,21,119,0.998,309,0.52,93,5
74,0.37,0.43,26,0.082,18,82,0.99708,333,0.68,97,6
88,0.64,0.17,29,0.084,25,130,0.99818,323,0.54,96,5
71,0.61,0.02,25,0.081,17,87,0.99745,348,0.6,97,6
77,0.6,0,26,0.055,7,13,0.99639,338,0.56,108,5
101,0.27,0.54,23,0.065,7,26,0.99531,317,0.53,125,6
108,0.89,0.3,26,0.132,7,60,0.99786,299,1.18,102,5
87,0.46,0.31,25,0.126,24,64,0.99746,31,0.74,96,5
93,0.37,0.44,16,0.038,21,42,0.99526,324,0.81,108,7
94,0.5,0.34,36,0.082,5,14,0.9987,329,0.52,107,6
